Power(V),5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,
Wavelength(nm),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),
313.00,96.35,95.87,95.70,95.61,97.54,97.19,96.92,96.58,95.88,96.58,97.68,96.22,96.82,95.74,96.96,95.86,96.07,96.44,96.36,96.21,96.61,95.35,95.70,98.03,95.85,97.20,96.20,95.87,96.12,94.78,95.48,94.62,95.12,96.21,95.63,95.36,96.80,95.85,94.76,95.25,95.60,95.60,95.74,94.75,94.97,94.88,94.76,94.05,93.42,93.55,93.53,92.95,93.76,94.01,94.39,94.03,
314.00,107.96,107.01,106.38,106.03,107.89,107.95,107.72,106.40,106.40,107.65,107.75,107.63,107.49,106.74,107.51,106.54,106.70,107.95,106.96,108.34,107.91,106.24,107.11,108.80,106.99,108.12,107.91,107.25,107.30,105.82,106.24,105.82,105.67,107.08,106.14,106.76,108.10,106.46,106.49,107.14,107.13,105.41,106.27,105.64,105.68,105.04,105.06,104.96,104.33,103.79,103.98,103.81,105.17,104.44,104.43,104.23,
315.00,118.52,117.82,117.50,117.17,118.27,118.87,118.36,116.68,117.58,118.71,118.71,118.55,117.91,118.34,119.15,117.86,117.25,118.80,117.86,119.00,119.24,116.45,117.82,119.43,117.71,119.40,118.81,118.59,117.91,116.77,117.18,116.21,116.13,118.50,117.05,118.22,118.68,118.03,116.77,118.22,117.71,116.60,116.40,116.40,116.17,115.36,116.31,116.40,115.60,115.39,114.99,114.42,115.89,115.15,113.98,115.03,
316.00,129.08,129.62,128.41,128.96,129.26,130.66,129.32,128.77,129.32,130.84,130.78,129.81,129.38,130.17,130.96,130.59,129.14,129.81,129.62,130.29,130.05,127.68,129.62,131.38,129.81,130.84,129.56,129.32,128.96,128.17,128.60,127.26,127.14,130.71,127.68,129.81,129.62,129.20,128.23,130.17,129.38,128.90,127.93,127.93,127.80,126.96,128.59,127.50,126.96,127.08,126.96,125.74,126.65,126.35,125.38,125.38,
317.00,141.74,141.69,140.64,140.47,140.72,142.05,141.16,141.69,141.81,143.26,142.70,142.22,142.42,141.97,142.66,142.29,141.45,142.14,142.01,142.82,141.61,140.40,142.71,143.02,141.90,142.87,142.54,141.57,141.08,139.42,140.15,139.59,139.18,142.82,139.91,141.85,141.77,140.76,141.17,142.34,141.04,140.68,140.28,140.20,140.32,138.77,140.64,138.78,139.22,138.37,138.37,137.48,138.17,138.58,137.44,136.76,
318.00,153.12,153.31,151.70,152.19,152.05,153.14,152.31,152.48,153.16,154.40,154.23,153.35,153.92,153.97,154.06,152.95,152.88,153.48,152.93,154.13,152.86,150.92,153.47,154.16,153.80,153.43,153.73,153.76,152.29,150.04,150.28,150.66,151.02,153.40,151.30,153.83,153.36,152.34,152.08,152.74,152.08,151.58,151.21,150.99,151.25,149.73,151.46,150.18,151.15,148.89,148.48,148.19,148.89,149.12,147.61,148.48,
319.00,162.51,163.72,162.02,162.40,161.88,162.39,162.39,162.89,163.37,163.72,164.57,163.48,163.60,163.71,163.35,162.87,162.15,162.74,162.88,163.48,161.66,160.69,162.86,163.97,163.47,162.63,162.51,163.59,162.03,159.49,160.08,159.72,161.18,162.61,161.31,163.57,162.61,162.27,160.82,162.39,162.03,162.39,161.05,160.69,160.44,159.48,160.92,159.94,160.18,159.35,158.98,158.39,158.86,157.89,157.55,158.35,
320.00,172.56,173.99,171.49,172.66,171.72,172.25,172.51,173.88,173.56,173.92,174.68,173.39,174.22,173.22,173.07,172.87,172.22,171.83,172.92,173.05,171.56,171.15,172.44,174.31,173.58,172.95,172.45,172.61,172.44,169.98,170.22,170.16,171.03,171.17,172.12,172.00,171.76,171.61,171.49,172.53,171.37,172.20,170.74,170.98,169.69,170.08,170.44,168.69,169.57,168.52,168.40,168.06,168.09,167.41,168.70,167.58,
321.00,183.05,183.35,182.19,183.25,182.90,182.98,182.85,184.30,184.32,184.35,185.20,183.54,185.20,183.47,183.63,182.11,182.76,182.39,183.25,183.59,182.00,181.98,182.76,184.20,183.54,183.64,183.42,183.44,182.13,179.82,179.93,181.42,181.73,181.18,182.93,182.53,182.44,181.93,182.68,182.55,181.79,182.20,181.20,181.42,180.11,181.28,180.26,178.38,180.20,178.40,177.65,177.89,178.67,178.16,179.06,178.10,
322.00,195.21,195.64,195.10,195.97,196.56,195.69,195.88,196.22,196.62,196.97,197.07,195.97,196.88,195.42,195.68,193.85,194.96,195.10,194.91,196.69,194.37,193.66,194.77,196.30,196.15,195.87,195.41,195.94,194.65,191.72,192.29,193.52,194.47,192.94,195.40,195.19,195.40,194.91,195.49,194.72,194.31,193.71,192.89,193.18,191.39,192.33,191.41,190.52,191.32,191.23,189.79,190.78,191.35,189.35,190.55,191.02,
