Power(V),5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,
Wavelength(nm),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),
330.00,61.30,54.00,51.23,49.98,56.29,67.95,81.58,71.29,61.58,55.27,50.38,46.02,48.16,53.95,48.92,57.26,52.59,61.30,67.14,88.35,93.73,78.98,75.04,74.70,71.96,77.59,78.81,77.54,83.82,95.49,108.43,173.52,149.46,132.08,118.86,119.29,121.63,139.20,146.54,153.13,159.72,165.07,169.32,170.84,167.02,163.26,168.89,170.66,
331.00,62.48,54.86,52.13,50.87,57.28,69.18,83.08,72.56,62.75,56.35,51.20,46.86,49.01,55.00,49.90,58.33,53.52,62.40,68.49,90.00,95.23,80.50,76.39,76.07,73.28,78.90,80.17,79.01,85.25,97.14,110.55,176.43,151.99,134.55,120.90,121.36,123.67,141.85,149.12,155.66,162.84,168.13,171.88,173.89,170.06,166.16,171.70,173.95,
332.00,63.05,55.34,52.50,51.29,57.77,69.89,83.85,73.11,63.29,56.89,51.81,47.34,49.47,55.58,50.40,58.97,54.05,63.05,69.26,90.89,96.01,81.28,77.14,76.74,73.99,79.50,80.88,79.81,85.87,98.17,111.58,177.57,153.45,135.90,121.92,122.41,125.05,143.21,150.12,157.14,164.08,169.52,173.34,175.49,171.59,167.90,173.62,175.74,
333.00,63.00,55.26,52.45,51.27,57.74,69.87,83.78,73.02,63.34,56.79,51.90,47.30,49.55,55.69,50.38,59.08,54.09,63.04,69.27,90.85,95.88,81.27,77.14,76.72,74.10,79.40,80.72,79.78,85.87,98.40,111.77,177.24,153.53,135.78,121.83,122.30,125.03,143.45,150.06,157.24,163.89,169.50,173.23,175.73,171.63,167.97,173.99,175.68,
334.00,62.81,54.99,52.19,51.14,57.51,69.69,83.48,72.89,63.11,56.57,51.66,47.14,49.46,55.55,50.32,58.94,54.00,62.87,69.15,90.73,95.49,81.03,77.08,76.57,73.99,79.17,80.71,79.53,85.63,98.23,111.80,176.63,153.40,135.34,121.55,122.18,124.80,143.13,149.59,156.70,163.46,168.83,172.58,175.33,171.16,167.56,173.39,175.18,
335.00,62.64,54.95,52.08,51.06,57.34,69.50,83.27,72.74,63.03,56.55,51.62,47.10,49.43,55.49,50.29,58.97,53.87,62.80,69.05,90.65,95.34,80.92,76.97,76.34,73.89,79.20,80.72,79.47,85.49,97.99,111.63,176.23,152.96,135.18,121.85,122.13,124.70,142.94,149.07,156.23,163.47,168.66,171.86,175.01,170.89,167.31,172.91,175.45,
336.00,62.69,55.04,52.14,51.10,57.45,69.56,83.47,72.76,63.21,56.70,51.75,47.23,49.60,55.58,50.41,59.23,54.08,62.95,69.18,90.82,95.74,81.20,77.19,76.39,74.05,79.34,80.78,79.65,85.70,98.07,111.82,176.19,153.31,135.31,122.06,122.38,124.99,142.81,149.31,156.46,163.48,168.59,172.19,175.07,170.91,167.83,173.30,175.75,
337.00,63.02,55.29,52.39,51.40,57.65,69.92,83.84,73.08,63.56,56.98,52.01,47.59,49.96,55.90,50.65,59.55,54.42,63.29,69.44,91.22,96.26,81.64,77.64,76.83,74.48,79.77,81.21,80.03,86.15,98.58,112.52,176.86,154.18,136.07,122.62,123.09,125.56,143.21,150.08,157.11,164.39,169.46,172.84,175.88,171.86,168.79,174.26,176.77,
338.00,63.86,56.03,52.99,52.07,58.36,70.84,84.93,74.01,64.40,57.75,52.62,48.27,50.63,56.67,51.42,60.30,55.12,64.16,70.37,92.53,97.59,82.80,78.88,77.90,75.54,80.89,82.33,81.04,87.37,99.79,114.07,179.28,156.10,137.75,124.40,124.73,127.36,144.71,151.82,158.88,166.50,171.61,175.25,178.04,174.20,170.97,176.36,179.14,
339.00,64.98,57.02,53.87,52.89,59.33,72.04,86.48,75.27,65.52,58.84,53.48,49.18,51.60,57.74,52.41,61.48,55.98,65.34,71.57,94.18,99.34,84.28,80.27,79.25,76.87,82.32,83.77,82.44,88.91,101.39,115.76,182.44,158.70,140.23,126.40,126.72,129.50,147.03,154.22,161.43,169.14,174.55,178.04,181.15,177.18,174.14,179.14,182.25,
340.00,65.90,57.74,54.61,53.58,60.11,73.01,87.78,76.27,66.38,59.67,54.18,49.84,52.34,58.57,53.15,62.35,56.82,66.27,72.45,95.55,100.65,85.45,81.38,80.34,77.95,83.37,84.81,83.60,89.98,102.75,117.39,184.83,160.74,141.40,128.17,128.46,131.10,149.05,156.17,163.36,171.11,176.69,180.45,183.65,179.29,176.41,181.46,184.43,
341.00,66.25,57.99,54.80,53.78,60.31,73.40,88.07,76.51,66.68,59.82,54.54,50.06,52.69,58.94,53.40,62.65,57.13,66.58,72.81,95.89,101.15,85.83,81.78,80.67,78.35,83.74,85.28,83.95,90.37,103.35,118.07,185.78,161.21,142.04,129.09,129.25,131.77,149.64,156.61,164.18,171.68,177.75,181.54,184.65,180.44,177.21,182.41,185.35,
342.00,66.26,58.02,54.69,53.79,60.31,73.34,88.13,76.49,66.79,59.74,54.46,49.99,52.75,59.11,53.53,62.76,57.11,66.56,72.93,96.03,101.28,85.77,81.79,80.93,78.46,83.90,85.39,83.86,90.40,103.32,118.12,185.87,161.15,142.01,129.18,129.35,132.37,149.97,156.78,164.00,171.42,177.81,181.60,184.60,180.45,177.08,182.33,185.25,
343.00,66.25,57.91,54.60,53.70,60.23,73.23,88.16,76.42,66.76,59.80,54.40,50.03,52.77,59.17,53.54,62.80,57.14,66.60,72.91,96.10,101.29,85.70,81.72,80.94,78.37,83.92,85.42,83.92,90.30,103.26,118.11,185.06,160.78,142.42,129.23,129.35,132.36,149.83,156.54,163.81,171.53,177.67,181.36,184.54,180.31,176.99,182.18,185.47,
344.00,65.98,57.65,54.35,53.48,59.99,72.93,87.94,76.12,66.53,59.56,54.23,49.86,52.57,59.05,53.39,62.60,57.08,66.44,72.74,95.79,101.03,85.45,81.40,80.70,78.18,83.56,85.07,83.82,89.87,102.93,117.80,184.05,160.03,142.05,129.08,128.91,131.97,149.45,155.95,163.30,171.05,177.01,180.85,183.82,179.18,176.48,182.01,184.92,
345.00,65.60,57.34,54.06,53.24,59.73,72.58,87.52,75.85,66.19,59.21,54.08,49.67,52.37,58.86,53.21,62.33,56.80,66.18,72.56,95.20,100.58,85.03,81.11,80.55,77.89,83.19,84.65,83.50,89.52,102.55,117.38,183.02,159.31,141.83,128.62,128.44,131.46,148.69,155.13,162.40,170.43,176.21,180.11,182.90,178.59,175.91,181.54,184.24,
346.00,65.58,57.32,53.98,53.27,59.71,72.58,87.60,75.99,66.08,59.28,54.07,49.75,52.46,58.95,53.23,62.39,56.82,66.28,72.68,95.38,100.69,85.04,81.19,80.77,77.97,83.33,84.69,83.45,89.55,102.69,117.60,182.96,159.57,142.21,128.43,128.76,131.69,148.72,155.33,162.39,170.35,175.95,180.30,183.06,178.74,175.99,181.98,184.29,
347.00,66.05,57.58,54.38,53.54,60.12,73.15,88.20,76.67,66.55,59.89,54.48,50.11,52.87,59.40,53.71,62.88,57.29,66.90,73.27,96.25,101.63,85.91,81.92,81.34,78.57,83.86,85.35,84.12,90.21,103.39,118.64,184.27,160.85,143.12,129.39,129.78,132.83,149.69,156.29,163.58,171.53,177.34,181.47,184.28,180.07,177.44,183.23,185.70,
348.00,66.67,58.13,54.95,54.03,60.73,73.92,89.13,77.50,67.13,60.43,54.99,50.64,53.40,60.05,54.30,63.63,57.93,67.58,74.08,97.19,102.73,86.86,82.71,82.25,79.39,84.76,86.35,85.12,90.87,104.47,119.86,186.54,162.67,144.29,130.61,130.99,133.96,151.27,158.23,165.32,173.14,178.87,183.20,185.88,181.82,179.20,185.26,187.56,
349.00,67.25,58.71,55.49,54.59,61.30,74.66,89.89,78.12,67.77,61.05,55.55,51.19,54.03,60.70,54.88,64.32,58.55,68.27,74.90,98.17,103.90,87.77,83.67,83.09,80.09,85.65,87.15,85.92,91.73,105.58,121.32,188.35,164.51,145.69,132.02,132.37,135.53,152.83,159.89,166.94,174.76,180.42,184.90,187.86,183.84,180.78,187.36,189.36,
