Datetime,solar_zenith_deg,GHI_Wm2,DNI_Wm2,DHI_obs_Wm2,GHI_theo_Wm2,DHI_theo_Wm2,DNI_theo_Wm2,Kt_GHI,Kt_DHI,Kt_DNI
2024-11-22 10:33:00+00:00,58.37280774655642,58.281985,0.072535,58.243948366146526,452.6820140773237,37.517746127847275,791.7090229939631,0.12874817904747748,1.552437296410921,9.161825606799114e-05
2024-11-22 10:34:00+00:00,58.38809050018007,58.74128999999999,0.08031,58.699194474722574,452.4646912757343,37.51350196453383,791.6455699287245,0.1298251358230354,1.5647484612398546,0.00010144691393552633
2024-11-22 10:35:00+00:00,58.40431353508539,46.72326,0.06641,46.688466354464616,452.2339975484958,37.50899667633293,791.5782128726881,0.10331655791754044,1.244727145259091,8.389568954783866e-05
2024-11-22 10:36:00+00:00,58.421476062249646,,0.08621,,451.9899441156172,37.50423048236355,791.5069551018288,,,0.00010891881548774126
2024-11-22 10:37:00+00:00,58.439577212483314,46.12111,0.062015,46.08865150724003,451.73254333708974,37.499203624007734,791.4318002249685,0.1020982673935531,1.2290568079620006,7.83579835715117e-05
2024-11-22 10:38:00+00:00,58.4586161054846,45.47065,,,451.4618077309227,37.49391634573351,791.3527518970668,0.10071870803100384,,
2024-11-22 10:39:00+00:00,58.478591804781104,45.37253,,,451.177750613879,37.488368907608,791.2698140063003,0.10056464428546281,,
2024-11-22 10:40:00+00:00,58.4995033291032,49.65864,0.06092,49.62680893717,450.880385939744,37.482561582138935,791.1829906268409,0.11013705973591945,1.3239972627916123,7.69986219644764e-05
2024-11-22 10:41:00+00:00,58.521349652624366,46.785815,0.066605,46.75103514673737,450.5683001461893,37.47634802646204,791.0898465926955,0.10383734271767475,1.24748108096676,8.419397655888836e-05
2024-11-22 10:42:00+00:00,58.544129705152926,,0.065495,,450.2428409169656,37.46986534165064,790.9926623339762,,,8.280102094341101e-05
2024-11-22 10:43:00+00:00,58.567842372561486,,0.078775,,449.9040573936197,37.46311725585696,790.8914993537123,,,9.960279009746856e-05
2024-11-22 10:44:00+00:00,58.59248649678925,46.450050000000005,0.063345,46.41703955490472,449.55196612139787,37.456104098638754,790.7863625924227,0.10332520709620598,1.23923832101352,8.010380931752169e-05
2024-11-22 10:45:00+00:00,58.61806087628084,,,,449.18658426695424,37.44882621193137,790.6772571761828,,,
2024-11-22 10:46:00+00:00,58.64456426622466,54.038255,0.081685,53.99575057061744,448.807929614946,37.44128394997986,790.5641884156078,0.1204039666731424,1.4421447363491517,0.00010332494337203312
2024-11-22 10:47:00+00:00,58.67199539749837,,0.14553,,448.4160202973585,37.43347767394759,790.4471617250273,,,0.00018411097799681325
2024-11-22 10:48:00+00:00,58.70035290296809,,0.136895,,448.01087584647047,37.425407772889756,790.3261829369079,,,0.00017321329212615543
2024-11-22 10:49:00+00:00,58.72963542786185,,,,447.59251561794605,37.41707463234364,790.2012578309776,,,
2024-11-22 10:50:00+00:00,58.75984155732872,,0.0751199999999999,,447.1609598257988,37.40847865494365,790.0723924432733,,,9.507989485329784e-05
2024-11-22 10:51:00+00:00,58.79096983479768,,0.08963,,446.71622928009845,37.39962025519676,789.9395929878184,,,0.00011346437220723304
2024-11-22 10:52:00+00:00,58.82301876224835,54.572755,,,446.2583453831027,37.3904998594055,789.8028658554671,0.12228960100040374,,
2024-11-22 10:53:00+00:00,58.855986800794966,,0.082565,,445.78733012091465,37.38111790550175,789.662217611414,,,0.00010455736409644145
2024-11-22 10:54:00+00:00,58.88987237067503,63.385125,0.073765,63.34701175495048,445.3032060636437,37.37147484305,789.5176549952415,0.14234149706737315,1.6950632005022719,9.34304629330228e-05
2024-11-22 10:55:00+00:00,58.92467385184476,,0.06822,,444.8059963568994,37.361571133077845,789.3691849183806,,,8.642343950512058e-05
2024-11-22 10:56:00+00:00,58.96038958428511,46.324695,,,444.29572471741903,37.35140724798895,789.2168144628041,0.10426545299184103,,
2024-11-22 10:57:00+00:00,58.997017868302656,,0.0687349999999999,,443.77241542876874,37.34098367147742,789.0605508797444,,,8.71099181467955e-05
2024-11-22 10:58:00+00:00,59.0345569651853,,,,443.2338318071973,37.3300554516357,788.8962981207367,,,
2024-11-22 10:59:00+00:00,59.07300512326685,,,,442.6820057507505,37.318840895796185,788.7277050652726,,,
2024-11-22 11:00:00+00:00,59.11236047485058,59.61793,,,442.1171592262833,37.30736172982461,788.5551340162697,0.1348464513441029,,
2024-11-22 11:01:00+00:00,59.15262119123885,,0.095415,,441.53931848012485,37.29561848711537,788.3785929924663,,,0.00012102687826394568
2024-11-22 11:02:00+00:00,59.19378538054023,65.98822,,,440.9485106655911,37.283611719495205,788.1980902897023,0.14965062451485295,,
