"Dates.dec" "GHIsat" "GHIstation"
2015.86027 5.35451 4.8615
2015.86301 5.12559 5.0093
2015.86575 5.28733 4.8709
2015.86849 5.12115 4.7694
2015.87123 4.87203 4.7742
2015.87397 5.21392 4.8375
2015.87671 4.02375 4.7549
2015.87945 5.16349 4.6942
2015.88219 4.77119 4.5955
2015.88493 5.15707 4.6241
2015.88767 4.86962 4.8169
2015.89041 4.78566 4.7572
2015.89315 4.45572 4.2804
2015.89589 4.34869 4.6119
2015.89863 4.99115 4.7822
2015.90137 4.66463 4.6662
2015.90411 4.98767 4.6904
2015.90685 4.63856 4.6535
2015.90959 4.75793 4.4071
2015.91233 4.13221 4.1352
2015.91507 4.36045 4.4128
2015.91781 4.37522 4.5665
2015.92055 3.12503 4.1726
2015.92329 4.73672 4.5134
2015.92603 4.58044 4.4692
2015.92877 4.6196 4.3079
2015.93151 NaN NaN
2015.93425 3.63645 3.9742
2015.93699 4.05487 4.3064
2015.93973 2.16784 4.3568
2015.94247 4.51748 4.2312
2015.94521 4.43376 4.3368
2015.94795 4.66907 4.3951
2015.95068 NaN NaN
2015.95342 NaN NaN
2015.95616 NaN NaN
2015.9589 4.40229 4.3426
2015.96164 4.0829 4.3197
2015.96438 4.49996 4.292
2015.96712 4.66367 4.3689
2015.96986 3.70364 3.6093
2015.9726 4.08106 4.163
2015.97534 3.71558 3.7148
2015.97808 NaN NaN
2015.98082 NaN NaN
2015.98356 4.1437 4.1838
2015.9863 4.3588 3.8883
2015.98904 3.05905 3.1998
2015.99178 4.49259 4.1562
2015.99452 NaN NaN
2015.99726 4.77689 4.3079
