sza_deg,mu0_cos_sza,total_direct_horiz,total_diffuse_down_horiz,total_diffuse_up_horiz,total_global_horiz,dni_reconstructed,ghi_from_identity,ghi_check_error
21.5,0.9304175679820246,760416.007977,50941.04266125,1.907705355809831e-11,811357.05063825,817284.6624406076,811357.05063825,0.0
22.0,0.9271838545667874,757351.520419,50902.3869785,1.716249080812783e-11,808253.9073975,816829.9271915826,808253.9073975,0.0
23.0,0.9205048534524404,751024.024212,50821.9605058,1.4234756420897369e-11,801845.9847178,815882.7423833926,801845.9847177999,1.1641532182693481e-10
23.5,0.917060074385124,747761.5803370001,50780.167526150006,-2.0601887293270316e-11,798541.74786315,815389.9632348118,798541.7478631501,-1.1641532182693481e-10
24.0,0.9135454576426009,744433.718811,50737.303114,-8.84113445061586e-12,795171.021925,814884.1555536899,795171.021925,0.0
24.5,0.9099612708765432,741040.8127339999,50693.3606326,-7.912996185595891e-12,791734.1733666,814365.2224013596,791734.1733666,0.0
25.0,0.9063077870366499,737583.1292935,50648.322481400006,2.6038295536828326e-11,788231.4517749,813832.9382617045,788231.4517749,0.0
25.5,0.9025852843498606,734060.9050735,50602.17741495,-2.4894812844528632e-11,784663.08248845,813287.0298259404,784663.08248845,0.0
26.0,0.898794046299167,730474.599085,50554.9132678,-3.513048968075959e-12,781029.5123528,812727.4564098066,781029.5123528,0.0
26.5,0.8949343616020251,726824.4559615,50506.5148614,8.82073570156581e-12,777330.9708229,812153.9267532525,777330.9708229,0.0
27.0,0.8910065241883679,723110.853564,50456.96762885,1.0986864982195563e-10,773567.82119285,811566.2836730554,773567.82119285,0.0
27.5,0.8870108331782217,719334.0799305,50406.25800415,-2.848783135733925e-11,769740.33793465,810964.2554793563,769740.33793465,0.0
28.0,0.882947592858927,715494.5577690001,50354.36944605,-2.1476024365348802e-11,765848.92721505,810347.707560168,765848.9272150501,-1.1641532182693481e-10
28.5,0.8788171126619654,711592.645396,50301.2876988,4.300019774132527e-12,761893.9330948,809716.4189720463,761893.9330948,0.0
29.0,0.8746197071393957,707628.604762,50246.9950554,-5.866671803113404e-12,757875.5998174,809070.0437981546,757875.5998174,0.0
29.5,0.8703556959398997,703602.8950065,50191.476194,8.402048264766057e-12,753794.3712004999,808408.4452927916,753794.3712004999,0.0
30.0,0.8660254037844387,699515.818727,50134.72219645,2.4956806632515974e-11,749650.54092345,807731.2924888697,749650.54092345,0.0
30.5,0.8616291604415258,695367.8736970001,50076.70447700001,-1.7156669922442158e-12,745444.578174,807038.4634390412,745444.5781740001,-1.1641532182693481e-10
31.0,0.8571673007021123,691159.326275,50017.3980695,6.411512022054927e-11,741176.7243445,806329.5528292622,741176.7243445,0.0
31.5,0.8526401643540923,686890.6226069999,49956.79991464999,1.6527142682872374e-11,736847.42252165,805604.3467379302,736847.42252165,0.0
32.0,0.848048096156426,682562.2086135,49894.88824955,3.657228929981376e-11,732457.09686305,804862.6153481731,732457.09686305,0.0
32.5,0.8433914458128857,678174.4103649999,49831.6770252,1.5473542066974742e-11,728006.0873902,804103.9706199003,728006.0873901999,1.1641532182693481e-10
33.0,0.838670567945424,673727.7164645,49767.04433905,-2.997499775664303e-11,723494.76080355,803328.1984784547,723494.7608035499,1.1641532182693481e-10
33.5,0.8338858220671682,669222.5619475001,49700.9283428,2.7102763539131277e-12,718923.4902903,802535.004478821,718923.4902903001,-1.1641532182693481e-10
34.0,0.8290375725550417,664659.2295649999,49633.5248285,-9.244354509032465e-12,714292.7543935,801723.8923400805,714292.7543934999,1.1641532182693481e-10
34.5,0.8241261886220157,660038.3454665,49564.74390985,-1.8417012596078124e-11,709603.0893763499,800894.7592966564,709603.08937635,-1.1641532182693481e-10
35.0,0.8191520442889918,655360.2460245,49494.4794488,-3.3474468549128247e-11,704854.7254733,800047.1348311657,704854.7254733,0.0
35.5,0.8141155183563192,650625.39222,49422.65366085,-2.509130907564047e-11,700048.0458808499,799180.678355816,700048.04588085,-1.1641532182693481e-10
36.0,0.8090169943749475,645834.2514064999,49349.38936615,-1.4663133048952345e-11,695183.64077265,798295.036936123,695183.6407726499,1.1641532182693481e-10
36.5,0.8038568606172173,640987.2702299999,49274.59807815,-1.4979664851980666e-11,690261.86830815,797389.8110888015,690261.8683081499,1.1641532182693481e-10
37.0,0.7986355100472928,636084.9458239999,49198.30605220001,-1.0596242146064841e-11,685283.2518762,796464.6422826013,685283.2518762,0.0
37.5,0.7933533402912352,631127.7603085,49120.417237149995,3.5731441499463804e-11,680248.1775456499,795519.1315849466,680248.17754565,-1.1641532182693481e-10
38.0,0.7880107536067219,626116.2249695001,49040.88218915,8.6540603579203e-12,675157.10715865,794552.8942387763,675157.1071586501,-1.1641532182693481e-10
38.5,0.7826081568524139,621050.7319345,48959.7055044,-5.8247001419563015e-12,670010.4374389,793565.3704815898,670010.4374389,0.0
39.0,0.7771459614569709,615931.901437,48876.8600858,8.491214414592409e-12,664808.7615228,792556.2661128272,664808.7615228,0.0
39.5,0.77162458338772,610760.1093255,48792.328731550006,5.539160127226089e-12,659552.43805705,791524.9494048454,659552.43805705,0.0
40.0,0.766044443118978,605535.99573,48706.05199655,-5.78078731386033e-13,654242.0477265499,790471.1027790215,654242.0477265499,0.0
40.5,0.7604059656000309,600260.0293004999,48617.997783,1.0283018809240024e-11,648878.0270835,789394.161087149,648878.0270834999,1.1641532182693481e-10
41.0,0.754709580222772,594932.765042,48528.13989195,-6.923660112695429e-13,643460.9049339499,788293.6438495854,643460.9049339499,0.0
41.5,0.7489557207890021,589554.6716215,48436.4414125,9.345166496931596e-12,637991.1130339999,787168.927690975,637991.113034,-1.1641532182693481e-10
42.0,0.7431448254773942,584126.34437855,48342.8532694,1.1218631907470399e-11,632469.1976479499,786019.5272211023,632469.1976479499,0.0
42.5,0.7372773368101241,578648.3618826501,48247.35552075,-9.82783892659919e-12,626895.7174034,784844.9056988622,626895.7174034001,-1.1641532182693481e-10
43.0,0.7313537016191705,573121.26326195,48149.90524705001,-1.90932960249053e-12,621271.168509,783644.4417975817,621271.168509,0.0
43.5,0.7253743710122877,567545.6378535001,48050.45543655,-5.294645782122492e-12,615596.09329005,782417.5495220053,615596.09329005,0.0
44.0,0.7193398003386512,561921.9665344,47948.9527941,2.882955860793774e-11,609870.9193285,781163.4588686154,609870.9193285,0.0
44.5,0.7132504491541817,556250.9650612499,47845.36301185,8.98848552029604e-12,604096.3280731,779881.6891330221,604096.3280731,0.0
45.0,0.7071067811865476,550533.14667205,47739.649320649994,2.1714206071854362e-11,598272.7959926999,778571.4425595495,598272.7959927,-1.1641532182693481e-10
45.5,0.7009092642998509,544769.16204525,47631.757533100004,5.458795481226548e-13,592400.9195783499,777232.0752379101,592400.9195783499,0.0
46.0,0.6946583704589973,538959.6318864,47521.6364205,-6.2853271176679775e-12,586481.2683068999,775862.8626763413,586481.2683069,-1.1641532182693481e-10
46.5,0.6883545756937539,533105.07533425,47409.2176661,4.349522924792112e-12,580514.29300035,774462.8918852807,580514.29300035,0.0
47.0,0.6819983600624985,527206.2770881,47294.47757329999,6.017872991794724e-13,574500.7546614,773031.5906328377,574500.7546614,0.0
47.5,0.6755902076156602,521263.76380470005,47177.35012455,-8.499103664324004e-13,568441.11392925,771567.968168722,568441.11392925,0.0
48.0,0.6691306063588582,515278.24035604997,47057.77551635,-9.300696955937641e-12,562336.0158724,770071.2468676161,562336.0158724,0.0
48.5,0.6626200482157375,509250.3465946,46935.68272265,-3.302822853692638e-12,556186.02931725,768540.5051746895,556186.02931725,0.0
49.0,0.6560590289905073,503180.7271063,46811.0296808,-2.3261356439529184e-11,549991.7567871,766974.7764626538,549991.7567871,0.0
49.5,0.6494480483301837,497070.107088,46683.749752849995,-6.649053987432697e-12,543753.85684085,765373.1632053289,543753.85684085,0.0
50.0,0.6427876096865394,490919.20882745006,46553.7710703,6.173033389999574e-12,537472.9798977501,763734.7102363264,537472.9798977501,0.0
50.5,0.636078220277764,484728.64712705,46421.0154682,5.0126584901729155e-12,531149.66259525,762058.2369812594,531149.66259525,0.0
51.0,0.6293203910498375,478499.16055555,46285.42820535,2.2415046286889515e-11,524784.5887609,760342.6924675263,524784.5887609,0.0
51.5,0.6225146366376195,472231.55050255,46146.932716049996,4.5727362752485666e-12,518378.4832185999,758587.0639977371,518378.4832186,-5.820766091346741e-11
52.0,0.6156614753256583,465926.46204635,46005.44657905,-1.6129583749784142e-11,511931.9086254,756790.0229584692,511931.9086254,0.0
52.5,0.6087614290087207,459584.6617226,45860.87933615001,-7.299940680032983e-12,505445.54105875,754950.3628555553,505445.54105875,0.0
53.0,0.6018150231520484,453206.9700956,45713.1699227,-9.805220547255848e-13,498920.1400183,753066.8937473457,498920.1400183,0.0
53.5,0.5948227867513414,446794.07265025,45562.21868805,4.641842174677524e-13,492356.2913383,751138.1248362077,492356.2913383,0.0
54.0,0.5877852522924731,440346.8591117,45407.931790099996,-6.311687868715754e-12,485754.79090180004,749162.8233172988,485754.7909017999,1.1641532182693481e-10
54.5,0.5807029557109398,433866.0838538,45250.2176254,1.4578715861536985e-11,479116.3014792,747139.4446798172,479116.3014792,0.0
55.0,0.573576436351046,427352.56966150005,45088.985335800004,3.541380055202579e-12,472441.5549973,745066.4681767843,472441.55499730003,-5.820766091346741e-11
55.5,0.5664062369248328,420807.1371097,44924.12710305,1.8299283743523304e-12,465731.26421275,742942.2730130439,465731.26421275,0.0
56.0,0.5591929034707468,414230.6306966,44755.5265001,1.9466598525717679e-13,458986.1571967,740765.1780371168,458986.1571967,0.0
56.5,0.5519369853120581,407623.96361258,44583.0914217,5.6101173999420025e-12,452207.05503428006,738533.5182459544,452207.05503428,5.820766091346741e-11
57.0,0.5446390350150271,400987.99991015997,44406.6947825,1.1576405526749977e-11,445394.69469266,736245.4288629832,445394.69469265995,5.820766091346741e-11
57.5,0.5372996083468239,394323.63246339996,44226.211658650005,3.971388551260351e-12,438549.84412205,733898.9761720918,438549.84412205,0.0
58.0,0.5299192642332049,387631.75262686505,44041.5233015,-6.8315812252790036e-12,431673.275928365,731492.0947208243,431673.275928365,0.0
58.5,0.5224985647159489,380913.340971655,43852.4964538,5.1603511483431594e-12,424765.837425455,729022.7508638893,424765.837425455,0.0
59.0,0.5150380749100542,374169.38620745,43658.987318850006,5.6142276150083204e-12,417828.3735263,726488.7868198766,417828.3735263,0.0
59.5,0.5075383629607042,367400.83959592506,43460.857813350005,-7.313868113126841e-12,410861.697409275,723887.8209180235,410861.69740927505,-5.820766091346741e-11
60.0,0.5000000000000001,360608.683820335,43257.95488355,2.2910340857987477e-12,403866.63870388496,721217.3676406699,403866.638703885,-5.820766091346741e-11
60.5,0.4924235601034671,353793.99551406497,43050.113911700006,6.005597670837823e-12,396844.109425765,718474.95566566,396844.109425765,0.0
61.0,0.4848096202463371,346957.79604235,42837.178585500005,-1.7193643622650442e-11,389794.97462785,715657.8202100382,389794.97462785,0.0
61.5,0.4771587602596084,340101.210866355,42618.971874,1.3828359766377454e-11,382720.182740355,712763.2125653853,382720.18274035497,5.820766091346741e-11
62.0,0.46947156278589086,333225.34055972495,42395.308009505,-9.907741342580566e-12,375620.64856923005,709788.125573214,375620.64856922993,1.1641532182693481e-10
