sza_deg,mu0_cos_sza,total_direct_horiz,total_diffuse_down_horiz,total_diffuse_up_horiz,total_global_horiz,dni_reconstructed,ghi_from_identity,ghi_check_error,ecc_factor,total_global_horiz_corr,total_diffuse_down_horiz_corr,dni_reconstructed_corr
20.0,0.9396926207859084,769209.0470395,51050.9029354,-2.7966668073528705e-12,820259.9499748999,818575.1702468141,820259.9499749,-1.1641532182693479e-10,0.9956105146843716,816659.430969487,50826.81574661549,814982.0465572777
20.5,0.9366721892483976,766345.0441175001,51015.2905661,-2.5959772937464982e-11,817360.3346836,818157.1449585035,817360.3346836001,-1.1641532182693479e-10,0.9956105146843716,813772.5434969292,50791.35969728758,814565.8561848317
21.0,0.9335804264972016,763413.9004235,50978.67195065,6.16208683940285e-12,814392.5723741499,817726.9775115494,814392.57237415,-1.1641532182693479e-10,0.9956105146843716,810817.8081365568,50754.90181871238,814137.5769515692
21.5,0.9304175679820246,760416.007977,50941.04266125,1.907705355809831e-11,811357.05063825,817284.6624406076,811357.05063825,0.0,0.9956105146843716,807795.6107787418,50717.43770252564,813697.2034161362
22.0,0.9271838545667874,757351.520419,50902.3869785,1.716249080812783e-11,808253.9073975,816829.9271915826,808253.9073975,0.0,0.9956105146843716,804706.0887396794,50678.95169832744,813244.4642208093
23.0,0.9205048534524404,751024.024212,50821.9605058,1.4234756420897367e-11,801845.9847178,815882.7423833926,801845.9847177999,1.1641532182693479e-10,0.9956105146843716,798326.2935424857,50598.87825644834,812301.437066426
23.5,0.917060074385124,747761.5803370001,50780.167526150006,-2.060188729327032e-11,798541.74786315,815389.9632348118,798541.7478631501,-1.1641532182693479e-10,0.9956105146843716,795036.5605869885,50557.26872646882,811810.8209646818
24.0,0.9135454576426008,744433.718811,50737.303114,-8.84113445061586e-12,795171.021925,814884.1555536899,795171.021925,0.0,0.9956105146843716,791680.630400847,50514.59246702651,811307.2335189488
24.5,0.9099612708765432,741040.8127339999,50693.3606326,-7.912996185595891e-12,791734.1733666,814365.2224013596,791734.1733666,0.0,0.9956105146843716,788258.867838726,50470.842870503344,810790.5782160703
25.0,0.90630778703665,737583.1292935,50648.322481400006,2.6038295536828326e-11,788231.4517749,813832.9382617045,788231.4517749,0.0,0.9956105146843716,784771.5213920176,50426.002413606686,810260.63052983
25.5,0.9025852843498606,734060.9050735,50602.17741495,-2.4894812844528632e-11,784663.08248845,813287.0298259404,784663.08248845,0.0,0.9956105146843716,781218.8154101511,50380.05990024825,809717.1183511283
26.0,0.898794046299167,730474.599085,50554.9132678,-3.513048968075959e-12,781029.5123528,812727.4564098066,781029.5123528,0.0,0.9956105146843716,777601.194777255,50333.00321837812,809160.0011742878
26.5,0.8949343616020251,726824.4559615,50506.5148614,8.820735701565809e-12,777330.9708229,812153.9267532525,777330.9708229,0.0,0.9956105146843716,773918.8879410897,50284.81725607232,808588.9890177392
27.0,0.8910065241883679,723110.853564,50456.96762885,1.0986864982195563e-10,773567.82119285,811566.2836730554,773567.82119285,0.0,0.9956105146843716,770172.2566010813,50235.48751037202,808003.9253882134
27.5,0.8870108331782217,719334.0799305,50406.25800415,-2.8487831357339247e-11,769740.33793465,810964.2554793563,769740.33793465,0.0,0.9956105146843716,766361.574024439,50185.000474825,807404.5397884301
28.0,0.882947592858927,715494.5577690001,50354.36944605,-2.14760243653488e-11,765848.92721505,810347.707560168,765848.9272150501,-1.1641532182693479e-10,0.9956105146843716,762487.2445950498,50133.339680788835,806790.6981972795
28.5,0.8788171126619654,711592.645396,50301.2876988,4.300019774132527e-12,761893.9330948,809716.4189720463,761893.9330948,0.0,0.9956105146843716,758549.610863414,50080.490935088914,806162.1806411453
29.0,0.8746197071393957,707628.604762,50246.9950554,-5.866671803113404e-12,757875.5998174,809070.0437981546,757875.5998174,0.0,0.9956105146843716,754548.9160009284,50026.43660844987,805518.6427215877
29.5,0.8703556959398997,703602.8950065,50191.476194,8.402048264766057e-12,753794.3712004999,808408.4452927916,753794.3712004999,0.0,0.9956105146843716,750485.6018771119,49971.161446276725,804859.9482931489
