Power(V),5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,
Wavelength(nm),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),
337.00,0.25,0.25,0.23,0.25,0.28,0.28,0.28,0.28,0.30,0.28,0.31,216.08,216.13,217.39,218.14,281.46,279.62,281.07,279.63,282.06,279.21,278.81,276.71,276.05,278.03,277.12,279.30,278.16,277.17,279.30,280.80,275.35,
338.00,0.26,0.25,0.22,0.25,0.29,0.28,0.28,0.28,0.30,0.28,0.32,222.93,222.65,223.69,224.71,289.88,287.39,289.74,287.90,290.47,287.20,286.98,285.12,283.89,285.73,285.65,287.51,286.73,285.25,287.53,288.89,283.19,
339.00,0.26,0.26,0.24,0.25,0.30,0.29,0.29,0.29,0.31,0.28,0.33,231.49,231.59,232.26,233.47,301.21,298.77,300.89,299.28,301.62,297.84,297.51,295.88,294.78,296.72,296.64,298.11,297.74,295.97,299.05,299.33,293.65,
340.00,0.27,0.26,0.24,0.25,0.30,0.29,0.29,0.31,0.31,0.29,0.33,237.38,237.79,238.34,239.91,309.02,306.88,308.60,307.49,309.90,306.28,305.66,303.59,302.85,305.24,304.79,305.95,305.71,304.10,307.09,307.70,301.88,
341.00,0.27,0.26,0.24,0.26,0.31,0.30,0.29,0.30,0.31,0.29,0.32,239.68,240.86,240.66,242.84,312.51,310.12,311.80,310.70,313.20,309.51,309.74,307.03,306.26,308.84,308.51,308.74,308.86,307.67,310.16,311.09,305.24,
342.00,0.26,0.25,0.24,0.25,0.30,0.29,0.29,0.30,0.30,0.29,0.31,239.76,240.84,240.84,242.64,312.56,310.04,311.84,311.03,313.28,309.77,310.22,307.88,306.90,308.96,309.05,308.60,308.69,307.79,309.95,311.39,305.73,
343.00,0.24,0.25,0.24,0.25,0.28,0.30,0.30,0.28,0.29,0.29,0.32,240.58,241.34,241.72,243.03,313.56,311.25,313.08,311.93,314.59,311.11,311.58,309.16,308.60,309.98,309.82,309.87,310.09,308.39,310.70,312.39,306.63,
344.00,0.24,0.25,0.24,0.24,0.27,0.29,0.29,0.28,0.29,0.28,0.31,241.20,241.71,242.06,243.49,314.29,311.55,313.66,312.18,315.65,312.14,312.28,310.54,309.81,311.11,310.60,310.97,310.60,309.12,310.69,313.55,307.67,
345.00,0.24,0.24,0.24,0.24,0.27,0.29,0.28,0.27,0.28,0.28,0.31,242.47,242.55,242.99,244.65,316.15,313.13,315.10,313.63,317.60,313.44,313.72,311.84,310.68,312.13,312.06,312.32,312.18,310.47,311.92,315.04,308.83,
346.00,0.24,0.24,0.24,0.24,0.26,0.28,0.27,0.27,0.27,0.28,0.32,245.84,245.48,246.34,248.37,320.74,317.47,319.05,318.39,322.54,318.21,317.45,316.70,315.46,316.33,316.07,316.78,316.44,314.43,316.74,319.31,312.79,
347.00,0.25,0.24,0.24,0.24,0.26,0.27,0.27,0.28,0.27,0.28,0.32,252.55,251.94,252.27,255.24,329.60,325.80,327.14,326.64,331.07,326.21,325.40,324.89,323.31,324.63,324.37,325.15,324.87,322.44,325.46,327.53,320.58,
348.00,0.25,0.24,0.24,0.25,0.27,0.28,0.27,0.28,0.27,0.28,0.32,259.39,259.00,258.95,262.39,338.62,333.92,335.38,334.97,339.81,334.39,333.77,332.80,331.59,333.28,333.42,333.45,333.04,330.62,334.64,335.85,328.66,
349.00,0.25,0.24,0.24,0.25,0.28,0.28,0.27,0.29,0.28,0.28,0.32,265.63,265.72,265.54,269.19,347.26,342.30,343.95,343.35,347.78,342.48,342.13,340.48,339.61,341.09,341.26,341.26,341.44,338.57,343.35,344.04,336.49,
350.00,0.25,0.25,0.25,0.25,0.28,0.28,0.27,0.30,0.28,0.29,0.31,272.66,272.99,272.92,276.14,356.88,351.64,353.15,352.60,356.24,351.41,350.95,349.41,349.27,349.91,350.51,350.33,349.75,347.49,352.43,352.97,345.25,
351.00,0.25,0.25,0.25,0.25,0.28,0.29,0.29,0.30,0.29,0.29,0.32,281.63,282.14,281.89,284.90,368.09,362.76,365.15,364.01,367.76,362.54,362.26,360.89,360.26,361.29,361.89,361.83,361.48,359.05,363.89,364.58,357.10,
352.00,0.25,0.25,0.25,0.26,0.28,0.29,0.31,0.30,0.30,0.31,0.32,290.42,291.10,291.33,293.91,378.77,373.92,376.94,374.95,378.77,373.74,373.17,371.73,371.27,372.21,372.86,372.92,372.73,371.15,375.05,375.87,368.81,
353.00,0.25,0.25,0.25,0.26,0.28,0.30,0.30,0.30,0.30,0.31,0.32,295.72,296.53,296.72,299.47,385.25,381.87,384.15,382.35,385.89,380.88,380.03,379.11,378.43,378.90,379.49,379.45,379.47,378.67,381.58,383.33,376.26,
354.00,0.25,0.24,0.25,0.26,0.28,0.30,0.30,0.29,0.30,0.30,0.32,296.79,297.60,297.48,300.76,386.39,383.71,385.88,384.12,387.75,382.18,381.54,380.45,380.25,381.33,381.16,381.40,380.85,380.64,382.75,384.45,377.93,
355.00,0.25,0.23,0.24,0.25,0.27,0.29,0.29,0.28,0.30,0.30,0.32,292.84,293.27,293.05,296.41,380.23,378.27,380.70,378.56,382.21,376.59,375.93,374.89,374.56,376.21,376.00,375.58,375.66,375.67,377.16,378.82,372.26,
356.00,0.24,0.23,0.24,0.26,0.27,0.28,0.28,0.27,0.28,0.29,0.31,287.95,288.21,288.30,291.34,373.57,372.44,374.09,371.84,375.66,370.62,370.18,368.54,368.10,370.00,369.83,369.40,369.57,369.14,370.53,372.87,366.19,
357.00,0.24,0.23,0.24,0.25,0.27,0.27,0.27,0.27,0.28,0.28,0.30,283.90,284.35,284.38,287.80,369.67,367.62,369.32,367.61,371.25,365.78,366.01,364.18,363.95,365.58,365.17,365.39,364.56,364.14,365.90,368.21,361.55,
358.00,0.23,0.23,0.23,0.24,0.27,0.25,0.27,0.26,0.28,0.27,0.30,282.35,283.31,282.77,286.23,367.58,365.35,367.45,365.48,369.46,363.71,363.90,362.09,361.70,364.69,363.06,363.62,362.52,361.76,364.40,365.68,359.42,
359.00,0.24,0.23,0.22,0.24,0.27,0.25,0.26,0.26,0.28,0.27,0.29,286.24,288.00,287.64,290.03,373.28,370.74,372.30,371.00,374.75,369.30,369.43,367.82,366.93,369.96,368.68,369.11,367.85,367.30,369.86,371.55,364.61,
360.00,0.24,0.23,0.23,0.24,0.27,0.25,0.26,0.27,0.28,0.28,0.29,297.16,298.71,299.20,300.78,387.42,384.38,385.31,384.43,388.83,383.33,383.34,381.63,380.63,383.17,382.01,383.39,381.66,380.84,384.00,385.37,378.35,
361.00,0.25,0.23,0.22,0.24,0.27,0.26,0.27,0.27,0.29,0.29,0.30,309.35,310.55,311.50,312.76,402.73,399.86,400.69,399.67,404.39,398.98,398.52,397.24,396.17,398.42,397.28,398.06,396.83,395.94,399.75,400.58,393.24,
362.00,0.26,0.22,0.23,0.24,0.28,0.27,0.27,0.28,0.30,0.29,0.31,321.93,322.71,324.25,325.04,418.89,415.94,416.25,415.50,420.31,415.04,414.10,413.06,412.16,413.10,412.46,413.34,412.73,411.67,415.44,416.24,408.22,
363.00,0.27,0.24,0.24,0.25,0.28,0.29,0.28,0.28,0.31,0.30,0.32,338.60,338.45,340.82,341.68,440.47,436.99,437.33,436.56,441.42,436.98,434.94,434.00,433.06,432.67,433.24,434.25,434.25,432.63,436.23,436.91,428.98,
364.00,0.27,0.25,0.26,0.25,0.29,0.30,0.29,0.30,0.31,0.31,0.34,357.39,356.55,359.08,359.86,464.04,460.53,461.21,460.56,464.96,460.28,458.80,457.90,456.13,455.75,456.48,457.79,457.74,455.69,459.53,460.11,452.06,
365.00,0.28,0.26,0.27,0.27,0.29,0.30,0.30,0.31,0.32,0.31,0.34,370.94,370.36,372.31,374.10,482.16,478.51,479.77,479.03,483.13,477.93,476.14,475.76,473.93,474.16,474.45,475.47,475.17,473.40,477.75,478.38,469.37,
366.00,0.27,0.27,0.27,0.28,0.30,0.30,0.30,0.32,0.32,0.32,0.34,384.33,383.53,384.56,387.48,499.04,494.86,496.53,495.90,499.78,494.66,492.77,492.14,490.19,490.77,490.77,492.15,491.25,490.15,494.47,495.06,485.74,
367.00,0.28,0.28,0.27,0.29,0.30,0.30,0.31,0.31,0.31,0.33,0.35,395.28,394.65,395.57,398.03,512.74,508.60,510.87,509.90,513.96,508.87,506.91,505.78,504.18,505.31,504.90,506.24,504.94,504.27,508.78,509.16,499.71,
368.00,0.28,0.27,0.27,0.29,0.30,0.30,0.31,0.32,0.31,0.32,0.35,400.34,399.51,400.15,402.69,518.89,514.70,517.35,515.77,520.58,514.75,513.18,511.77,510.83,512.21,511.58,512.63,510.94,510.34,514.84,516.13,505.28,
369.00,0.28,0.26,0.26,0.29,0.29,0.29,0.30,0.31,0.31,0.32,0.35,399.38,398.77,399.28,402.21,517.96,514.41,516.20,514.28,519.68,514.07,511.91,509.87,509.88,511.47,510.91,511.31,509.70,509.02,513.84,515.02,503.95,
370.00,0.27,0.26,0.26,0.27,0.28,0.29,0.29,0.30,0.30,0.31,0.34,394.53,394.14,394.38,397.78,511.89,508.08,509.72,507.58,513.11,507.74,506.12,503.13,504.07,505.23,505.05,505.13,503.77,503.02,506.97,508.80,498.45,
371.00,0.26,0.25,0.26,0.26,0.27,0.28,0.29,0.29,0.29,0.30,0.33,383.52,383.92,384.15,387.61,498.90,495.63,497.04,494.65,500.28,494.48,493.09,490.25,491.66,492.53,492.23,492.73,491.53,489.96,493.94,495.52,485.66,
372.00,0.25,0.24,0.25,0.24,0.26,0.27,0.27,0.28,0.28,0.28,0.32,372.57,373.30,373.13,377.05,485.19,482.08,483.20,480.78,486.57,480.24,479.13,476.60,477.69,478.20,478.39,479.14,477.76,475.81,479.84,481.73,472.16,
373.00,0.25,0.23,0.23,0.24,0.26,0.26,0.27,0.28,0.27,0.27,0.30,366.36,367.75,367.97,371.39,477.24,474.49,475.34,473.67,479.16,472.26,471.61,469.24,469.46,470.01,470.72,472.13,470.16,468.32,472.13,473.76,465.27,
374.00,0.24,0.23,0.23,0.24,0.26,0.26,0.26,0.28,0.26,0.26,0.30,370.58,371.19,372.14,374.86,482.05,478.73,479.99,478.69,484.19,476.62,476.43,474.75,473.99,474.29,474.87,476.89,475.25,473.19,477.31,478.69,470.17,
375.00,0.25,0.23,0.24,0.25,0.27,0.25,0.27,0.28,0.27,0.26,0.31,386.40,386.30,388.00,390.36,501.59,498.62,500.36,498.97,504.50,496.46,495.86,494.78,493.20,493.79,494.26,496.59,494.99,492.41,496.91,499.05,489.36,
376.00,0.26,0.25,0.23,0.26,0.29,0.26,0.28,0.29,0.28,0.27,0.32,406.68,406.26,408.32,410.48,527.49,523.76,525.86,524.53,530.07,521.88,521.39,520.62,518.83,519.65,519.67,521.90,520.19,517.71,522.05,524.85,514.38,
377.00,0.26,0.25,0.24,0.26,0.29,0.27,0.29,0.29,0.28,0.28,0.32,423.53,422.83,424.95,427.84,549.56,545.82,547.53,546.41,551.20,543.91,542.78,542.13,540.36,541.95,542.08,543.92,541.82,539.07,543.56,546.59,535.49,
378.00,0.25,0.25,0.24,0.26,0.30,0.28,0.29,0.30,0.29,0.29,0.33,434.69,433.56,435.69,438.83,563.89,559.96,561.23,560.00,564.56,557.95,555.91,556.00,554.55,556.46,555.92,557.13,556.04,552.74,557.65,560.47,549.33,
379.00,0.25,0.25,0.24,0.25,0.28,0.28,0.29,0.29,0.29,0.28,0.31,430.74,430.38,431.28,435.41,559.27,555.37,557.25,554.88,559.05,553.65,551.14,551.36,550.23,552.69,551.70,552.03,550.77,548.15,552.49,556.22,544.58,
380.00,0.23,0.23,0.21,0.24,0.26,0.27,0.27,0.27,0.28,0.28,0.28,408.52,408.52,409.19,413.27,531.10,527.04,528.94,526.23,530.38,525.40,523.15,522.93,523.17,525.23,524.38,523.91,522.84,520.37,523.91,527.89,516.98,
381.00,0.22,0.21,0.19,0.22,0.24,0.25,0.26,0.25,0.26,0.28,0.26,383.19,383.47,384.17,388.18,499.14,495.20,496.69,493.97,498.42,493.33,491.18,490.65,490.19,492.36,492.06,491.99,491.03,488.76,491.66,495.46,485.82,
382.00,0.22,0.20,0.19,0.21,0.22,0.24,0.24,0.23,0.25,0.27,0.25,368.50,368.29,369.88,372.69,479.05,475.53,477.18,474.31,479.50,474.10,472.44,471.59,470.87,472.04,472.04,472.55,472.02,469.93,472.91,476.02,467.21,
