Power(V),5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,
Wavelength(nm),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),
313.00,39.71,37.72,36.24,34.02,33.06,31.87,30.45,30.36,29.57,29.13,28.79,29.53,31.06,32.18,34.05,35.85,37.35,39.12,40.68,42.29,43.95,45.80,48.24,50.66,53.21,54.76,56.52,57.06,57.65,58.19,59.54,61.35,63.59,64.61,65.62,65.68,65.45,64.65,64.81,64.19,63.63,64.55,64.16,63.78,63.97,64.41,65.29,66.08,67.64,70.36,72.55,75.18,
314.00,43.90,41.57,39.76,37.97,36.51,35.20,33.69,33.54,32.63,32.43,32.04,32.92,34.56,35.55,37.53,39.75,41.37,43.50,44.96,46.82,48.46,50.80,53.22,56.27,58.76,60.51,62.36,63.02,63.53,64.72,66.18,67.89,70.14,71.32,72.62,72.72,72.05,71.73,71.61,70.73,70.65,71.58,70.89,70.65,70.64,71.20,71.89,72.84,74.89,77.76,80.01,83.00,
315.00,47.92,45.76,43.69,41.81,39.60,38.71,37.00,36.87,35.87,35.54,35.22,36.14,37.96,39.25,41.20,43.41,45.44,47.73,49.54,51.49,53.11,55.68,58.67,61.44,64.28,66.38,68.09,68.74,69.70,70.94,72.41,74.23,77.03,77.81,78.88,79.50,79.21,78.74,78.63,77.50,77.10,78.10,76.95,77.42,77.09,78.07,78.58,80.05,82.01,85.36,87.68,90.72,
316.00,52.53,49.84,47.75,45.62,43.68,42.46,40.52,40.38,39.30,38.86,38.55,39.48,41.52,43.17,45.27,47.73,49.72,51.95,54.15,56.20,58.31,60.84,64.22,67.10,70.09,72.56,74.40,74.87,76.20,77.41,79.01,81.12,83.94,85.15,85.95,86.82,86.41,85.73,85.54,84.64,84.11,85.32,84.05,84.47,84.44,85.24,85.90,87.21,89.63,93.15,95.70,99.12,
317.00,57.01,54.10,51.72,49.77,47.58,45.93,44.14,43.91,42.66,42.41,42.12,43.13,45.14,46.76,49.26,52.16,54.14,56.72,58.88,61.00,63.24,66.28,69.46,73.43,75.93,78.72,80.82,81.23,82.44,84.01,85.89,88.23,90.87,92.60,93.57,94.43,93.51,93.14,92.55,92.07,91.63,92.65,91.71,91.81,92.05,92.47,93.22,95.05,97.49,100.87,103.85,107.64,
318.00,61.09,57.89,55.50,53.46,50.57,49.48,47.36,47.15,45.74,45.39,45.28,46.33,48.57,50.21,52.68,55.77,58.11,60.87,63.23,65.67,67.80,71.20,74.65,78.63,81.67,84.24,86.29,87.33,88.50,90.14,92.15,94.56,97.63,99.09,100.12,101.05,100.32,99.95,99.53,98.88,98.13,99.12,98.03,98.41,98.54,99.24,99.79,102.25,105.00,108.25,111.55,115.09,
319.00,64.42,61.66,58.78,56.40,53.61,52.67,50.29,50.09,48.74,48.13,47.99,48.98,51.48,53.45,56.07,59.11,61.53,64.25,66.97,69.39,71.94,75.38,79.11,83.06,86.55,89.26,91.36,92.28,93.73,95.14,97.42,100.29,103.20,105.20,106.07,106.75,106.15,105.24,105.28,104.80,103.55,104.62,104.04,104.22,104.61,104.85,105.88,108.05,111.07,114.60,118.10,121.89,
320.00,68.38,65.35,62.01,59.71,57.15,55.60,53.27,52.93,51.48,51.07,50.79,51.74,54.33,56.34,59.17,62.71,64.96,67.89,70.53,73.20,75.97,79.58,83.08,88.06,91.39,94.14,96.49,97.49,98.61,100.27,102.87,106.01,108.62,111.33,112.43,113.05,111.56,110.98,110.66,110.38,109.98,110.66,110.52,110.05,110.53,110.51,112.01,114.14,117.13,120.84,124.76,128.74,
321.00,72.51,68.90,65.90,63.00,60.09,58.77,56.40,55.87,54.43,54.03,53.78,54.76,57.36,59.55,62.47,66.14,68.58,71.94,74.52,77.33,80.17,84.01,87.94,92.82,96.38,99.40,101.94,102.97,104.15,105.93,108.75,111.82,114.76,117.33,118.57,119.08,117.88,117.57,117.28,116.52,116.36,116.53,116.60,116.27,116.60,116.81,118.09,120.55,123.81,127.30,131.65,135.86,
322.00,77.27,73.76,70.09,66.74,64.18,62.78,59.90,59.43,58.10,57.32,57.25,58.20,61.04,63.60,66.60,70.16,72.96,76.27,79.20,82.08,85.42,89.23,93.79,98.30,102.66,105.72,108.22,109.31,110.92,112.50,115.44,118.71,121.81,124.92,125.79,126.42,125.61,124.83,124.58,123.78,123.33,123.85,123.63,123.59,123.88,123.93,125.65,127.87,131.50,135.53,139.96,144.48,
