Power(V),5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,
Wavelength(nm),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),
313.00,68.73,72.43,69.72,77.31,67.41,62.93,61.78,60.60,59.53,58.12,57.24,55.88,55.98,54.80,54.50,53.60,53.78,55.45,55.64,55.15,53.67,52.37,53.97,54.42,55.53,54.96,49.49,50.13,41.89,39.99,40.24,36.88,34.94,34.74,31.40,30.96,32.83,30.09,27.28,25.26,25.01,27.40,26.84,27.84,25.38,25.26,25.62,25.11,23.53,23.92,25.96,25.74,25.74,25.35,
314.00,76.64,80.90,77.94,86.11,75.05,70.35,68.77,67.64,66.22,64.91,63.75,62.50,62.20,61.35,60.79,60.24,60.12,61.80,62.09,61.28,59.89,58.50,59.88,60.82,61.90,61.24,55.42,55.92,46.76,44.70,44.87,41.20,39.22,38.82,35.13,34.65,36.62,33.65,30.53,28.48,27.87,30.62,30.08,31.27,28.35,28.27,28.83,28.12,26.47,26.76,29.20,28.83,28.79,28.40,
315.00,84.73,89.15,85.90,94.92,82.68,77.70,75.99,74.77,73.07,71.69,70.42,68.78,68.63,67.93,67.02,66.84,66.39,68.14,68.60,67.88,66.01,64.62,66.20,67.27,67.99,67.59,60.99,61.94,51.56,49.39,49.36,45.80,43.44,42.94,38.88,38.47,40.60,37.24,33.71,31.44,30.95,34.01,33.22,34.67,31.47,31.35,31.96,31.11,29.43,29.82,32.43,31.94,32.05,31.35,
316.00,93.32,98.19,94.92,104.47,90.87,85.27,83.69,82.65,80.27,79.04,77.41,75.59,75.62,74.77,73.63,73.36,73.04,75.13,75.81,74.72,72.56,71.25,72.66,73.73,75.01,74.40,67.25,68.27,56.60,54.47,54.52,50.18,47.95,47.29,43.03,42.48,44.85,41.15,37.07,34.67,34.24,37.60,36.66,38.40,34.82,34.72,35.32,34.55,32.76,32.94,35.99,35.36,35.43,34.68,
317.00,102.12,107.59,104.21,114.24,99.60,93.32,91.47,90.61,87.83,86.34,84.84,82.78,82.83,81.99,80.79,80.19,80.06,82.28,83.01,81.73,79.07,78.09,79.51,80.47,82.00,81.52,73.60,74.70,61.99,59.67,59.61,54.98,52.57,51.72,47.19,46.63,49.13,45.10,40.61,37.94,37.68,41.20,40.31,42.19,38.19,38.03,38.86,38.02,36.10,36.29,39.59,38.85,38.96,38.15,
318.00,109.96,116.15,112.20,123.29,107.05,100.83,98.57,97.45,94.81,93.06,91.11,89.35,89.17,88.83,87.09,86.33,86.04,88.90,89.44,88.08,84.96,84.31,85.66,86.87,88.73,87.75,79.36,80.47,66.65,64.12,64.17,59.41,56.74,55.74,50.93,50.37,53.02,48.74,43.89,41.06,40.60,44.50,43.68,45.73,41.43,41.03,42.06,41.26,39.10,39.26,42.90,42.22,42.21,41.36,
319.00,117.09,123.51,119.23,131.27,113.70,107.43,104.86,103.45,100.78,99.03,96.76,95.04,95.25,94.56,92.44,91.75,91.66,94.80,95.35,93.89,90.24,89.62,91.46,92.24,94.38,93.26,84.52,85.19,71.12,68.07,68.17,63.25,60.40,59.80,54.35,53.79,56.53,51.85,46.80,43.67,43.26,47.61,46.68,48.94,44.28,43.91,44.81,44.03,41.83,42.12,45.66,45.15,45.20,44.01,
320.00,124.13,131.21,126.54,139.27,120.71,113.89,111.08,109.96,106.92,104.95,102.82,100.88,101.07,100.15,98.49,97.22,97.36,100.49,101.04,99.63,95.54,94.99,96.96,97.66,100.72,99.04,89.91,90.38,75.36,72.22,72.51,66.96,64.28,63.63,57.81,57.17,59.91,55.15,49.92,46.41,46.03,50.68,49.64,52.21,47.27,46.82,47.64,47.09,44.72,44.91,48.58,48.16,48.09,47.15,
321.00,131.44,139.22,134.25,147.84,128.06,120.62,117.78,116.35,113.73,111.20,109.05,107.07,107.15,106.53,104.86,103.03,103.25,106.37,106.83,105.42,101.02,100.59,102.90,103.62,106.81,104.95,95.36,95.45,80.23,76.64,77.02,70.94,68.12,67.46,61.27,60.60,63.65,58.47,53.12,49.38,48.84,53.87,52.79,55.28,50.05,49.68,50.69,49.91,47.57,47.84,51.62,51.28,51.11,50.30,
322.00,140.13,148.51,143.40,157.66,136.30,128.79,125.46,123.79,121.55,118.76,116.24,114.52,114.27,113.53,111.85,110.26,110.17,113.37,113.89,112.31,107.68,107.21,109.77,110.75,114.04,111.88,101.69,101.79,85.56,81.85,81.94,75.66,72.74,72.18,65.48,64.79,68.01,62.52,56.72,52.99,52.11,57.56,56.53,58.95,53.51,53.09,54.21,53.32,50.91,51.09,55.14,54.91,54.72,53.87,
323.00,150.65,159.48,154.17,169.47,146.47,138.60,134.89,133.23,130.47,127.55,125.18,122.92,123.20,122.08,120.28,118.93,118.72,121.80,122.48,120.87,116.21,114.91,118.02,119.07,122.14,120.43,109.57,109.44,92.28,88.06,88.33,81.65,78.40,77.77,70.63,69.76,73.04,67.32,61.08,57.08,56.26,62.01,60.87,63.44,57.76,57.32,58.45,57.38,54.89,55.25,59.47,59.16,59.15,58.00,
324.00,162.15,171.81,165.83,182.33,157.58,148.72,145.19,143.59,140.38,137.32,134.77,132.34,132.69,131.35,129.74,127.93,127.58,130.80,131.94,129.92,125.36,123.55,126.90,128.07,131.27,129.71,117.79,118.09,99.40,94.86,95.15,87.77,84.62,83.59,76.20,74.98,78.75,72.87,66.01,61.51,60.80,66.82,65.63,68.27,62.30,61.84,63.02,61.85,59.17,59.59,64.26,63.76,63.78,62.68,
