DayOfYear,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
70,0.0,0.0,0.0,0.0,0.0,0.4882813196629286,71.86220629215241,215.1304874420166,373.2922342300415,463.16003398895265,583.2281917572021,625.9734874725342,590.5339069366455,518.4512687683106,403.9262886047363,283.30803966522217,123.93405027389527,11.361235451698303,0.0,0.0,0.0,0.0,0.0,0.0
71,0.0,0.0,0.0,0.0,0.0,0.6527111239731311,67.88338243961334,190.78385238647462,334.5019568443298,422.65269527435305,494.7070766448975,489.27667636871337,512.6875816345215,476.8715938568115,365.88413314819337,251.35718116760253,127.15597639083862,12.32912387251854,0.0,0.0,0.0,0.0,0.0,0.0
72,0.0,0.0,0.0,0.0,0.0,0.9842352971434594,75.76046996116638,238.1015821456909,404.4532524108887,545.1302097320556,664.6617702484131,699.195858001709,633.0162113189697,548.3340690612793,437.12419376373293,286.39184379577637,136.69221019744873,13.628116363286972,0.0,0.0,0.0,0.0,0.0,0.0
73,0.0,0.0,0.0,0.0,0.0,1.2003012292087079,73.008793258667,226.6244704246521,353.92048091888427,465.77870788574216,584.7008987426758,650.9951705932617,624.3635105133056,544.8182710647583,437.87951679229735,286.8285937309265,137.37895045280456,15.008671534061431,0.0,0.0,0.0,0.0,0.0,0.0
74,0.0,0.0,0.0,0.0,0.0,1.74038195759058,81.93608417510987,253.68169403076172,433.14122047424314,542.3672496795655,648.0258201599121,704.4490692138672,702.9113494873047,582.2325370788574,476.41385383605956,320.53494510650637,146.9612102508545,17.144854164123537,0.0,0.0,0.0,0.0,0.0,0.0
75,0.0,0.0,0.0,0.0,0.0,2.064766411483288,79.10564758777619,231.8193202972412,390.42449436187746,527.9692665100098,668.0911506652832,681.7362503051758,670.7415840148926,596.6353824615478,464.5032506942749,287.6832050323486,133.92420921325683,16.942834544181824,0.0,0.0,0.0,0.0,0.0,0.0
76,0.0,0.0,0.0,0.0,0.0,2.784836657345295,94.85487385988236,262.12121334075925,435.52186889648436,572.3971279144287,673.8604194641114,703.5629287719727,667.161169052124,580.6598693847657,459.92467002868653,293.58466625213623,146.39483041763305,20.312872076034544,0.0,0.0,0.0,0.0,0.0,0.0
77,0.0,0.0,0.0,0.0,0.0,3.293609058856964,90.97593264579773,239.4460997581482,382.8489448547363,535.4520935058594,616.0086875915528,647.2781272888184,614.7125175476074,562.6822242736816,429.03142166137695,282.1877381324768,142.86111826896666,18.767082744836806,0.0,0.0,0.0,0.0,0.0,0.0
78,0.0,0.0,0.0,0.0,0.0,3.7468413352966308,98.4006549358368,264.32130575180054,432.21588611602783,565.0745391845703,655.237890625,699.5045745849609,700.9408325195312,607.9749084472656,464.8909969329834,304.73459949493406,157.7581007003784,21.110290718078613,0.0,0.0,0.0,0.0,0.0,0.0
79,0.0,0.0,0.0,0.0,0.0,4.401411089301109,88.68887662887573,220.77453632354735,363.22570724487304,497.73443870544435,613.9166152954101,680.6824787139892,638.6875358581543,572.5300712585449,456.49421577453614,279.9343954086304,137.63734059333802,19.202788519859315,0.0,0.0,0.0,0.0,0.0,0.0
80,0.0,0.0,0.0,0.0,0.0,4.9625673472881315,96.28317341804504,254.13707427978517,395.85475578308103,497.0728569030762,585.5823379516602,628.6832447052002,610.8160003662109,550.8505908966065,430.19664001464844,292.0466304779053,151.57273540496826,21.838946706056596,0.0,0.0,0.0,0.0,0.0,0.0
81,0.0,0.0,0.0,0.0,0.0,5.495478883385658,103.47010674476624,256.9516514778137,415.6374340057373,521.2273334503174,597.6394134521485,629.8046936035156,618.7457706451416,550.5797319412231,445.61899452209474,310.72289247512816,153.03538236618041,21.578342723846436,0.0,0.0,0.0,0.0,0.0,0.0
82,0.0,0.0,0.0,0.0,0.0,5.3315537631511685,89.69243907928467,237.99550409317015,400.80320234298705,530.6190448760987,588.3228404998779,659.3462501525879,659.9578262329102,561.1315307617188,412.48865165710447,285.2635871887207,136.5797815322876,21.867556929588318,0.0,0.0,0.0,0.0,0.0,0.0
83,0.0,0.0,0.0,0.0,0.0,8.056769233942031,106.50805721282958,270.7578925132751,427.9874435424805,571.5511083602905,653.854566192627,636.2709735870361,620.3995788574218,537.0969167709351,416.41246337890624,287.1472074508667,145.00181674957275,23.36656904220581,0.0,0.0,0.0,0.0,0.0,0.0
84,0.0,0.0,0.0,0.0,0.0,8.115005999803543,108.47381119728088,272.4485743522644,405.4321605682373,549.3270673751831,616.7368816375732,619.1014919281006,620.420393371582,554.9137084960937,427.2191307067871,301.20273246765134,161.84605560302734,27.458492362499236,0.0,0.0,0.0,0.0,0.0,0.0
85,0.0,0.0,0.0,0.0,0.0,9.556210124492646,107.1621642589569,261.3290323257446,405.68366584777834,487.02682056427,541.4887676239014,578.6808139801026,593.9639747619628,487.13642196655275,355.63088569641116,231.28585662841797,128.21585416793823,22.28992725610733,0.0,0.0,0.0,0.0,0.0,0.0
86,0.0,0.0,0.0,0.0,0.0,7.341618037223816,86.67908272743225,221.77441940307617,370.53887882232664,490.6354736328125,597.1329517364502,638.9230346679688,654.3758018493652,554.26279296875,431.5519512176514,290.69006671905515,160.3383095741272,30.82230396270752,0.0,0.0,0.0,0.0,0.0,0.0
87,0.0,0.0,0.0,0.0,0.0,13.378131687641144,121.97762537002563,269.34958572387694,438.9771614074707,531.9962261199951,596.9530323028564,605.8275531768799,640.4616058349609,584.7877410888672,461.014697265625,316.8185104370117,154.60029010772706,32.749716234207156,0.0,0.0,0.0,0.0,0.0,0.0
88,0.0,0.0,0.0,0.0,0.0,14.703178358078002,132.17336158752443,302.43679389953616,486.5243286132812,627.0535781860351,694.0466667175293,715.5668991088867,732.2777847290039,634.7590415954589,495.75030250549315,331.97920684814454,162.83988676071166,30.440418577194215,0.0,0.0,0.0,0.0,0.0,0.0
89,0.0,0.0,0.0,0.0,0.0,14.278074675798416,118.71993885040283,265.6176957130432,397.5689208984375,540.0489957809448,629.4392860412597,658.9647836685181,654.4458282470703,542.0387535095215,447.41455154418946,310.36999626159667,168.88511753082275,33.90472958087921,0.0,0.0,0.0,0.0,0.0,0.0
