DayOfYear,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.05468934340072,320.47855742772566,296.07633195805107,345.14620553137195,390.1604636451682,430.7969978416998,400.9355999676997,297.00446369581755,203.27108655414648,32.20140337236968,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.46693148248040844,223.03782572260207,383.1778529120468,483.8692202693538,468.6376286147532,499.55300438068315,485.53153747723553,400.8206070206085,336.4202028026216,225.50129208033067,31.57510054707949,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.9686414998670729,234.01703351094542,350.21470690928413,431.20703956213845,524.0966382313521,597.6080111132823,429.4096915053204,391.48656398950845,403.0080724441701,291.5267871824202,39.74251279345652,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,1.155602550856164,232.25550139550768,377.41602679677305,443.6481753477827,498.87164048328424,542.710543812858,516.9910471267183,468.1174678810377,405.43412760837816,311.21436193305345,51.05574765394747,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,1.4178241697950782,251.4054725077005,438.55393681418644,470.1416461181363,482.60282362157596,485.8266461755572,432.09749156558775,427.0963497116571,409.68897170367416,288.13153325035034,52.613296637266465,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,1.9396646683468135,225.97021024583373,371.88648446902016,416.72324823066594,430.4047573066928,482.53211784921587,469.9569429484196,414.106677361831,366.88395519200714,257.62504079998763,49.23201993703848,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,2.158707859794211,243.2890662842032,453.6396175891161,539.0992742538681,579.3029204893646,600.0696987373288,561.0467566758394,511.21530519723893,459.187266445905,369.9852489979705,73.91155201426139,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,2.6213452106114827,226.42666282908493,396.79324273137814,424.03345427386813,380.7218275449326,429.08803006562994,475.6072326146852,419.48749356173795,385.2800722149179,299.0154134477289,64.29807607174973,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,3.0943703555994038,258.9689399514262,478.91798945933715,531.8239071206586,554.3867732463405,562.3403562183724,554.067594879876,478.33620407357813,423.54410343170167,354.5808265686035,61.05479539878725,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,3.1389335229913526,254.34910838492215,402.62076500288094,465.907181618124,480.9517048472144,460.14534145593643,479.19729065535137,467.49161758992994,414.17613678275984,303.4857960463193,57.44693577494472,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,3.588842669014613,220.63796008223,374.25800331396545,400.28691109443554,410.90028375796976,407.2719551701099,426.38279329829675,402.69159035910855,341.5212014641967,279.5836915787862,51.49932163843621,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,4.666397445993455,221.3402785812854,405.83128421611025,511.85210256708376,486.8140928363726,459.8488951782201,422.6926682207879,405.71631280217923,341.99790893842044,257.84511362341,60.20875937730598,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,6.9022719805605135,239.2512117530452,321.4714503020048,393.1897393784675,361.4816890440881,388.17580268234013,362.31827902176883,367.06666657319295,318.6458896605981,239.08122136649916,68.36660758187865,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0,4.454973952971837,178.86546824883075,312.70423300217374,361.2940205428673,365.12975887660866,326.1369595157088,272.6522073578875,260.7288807416784,223.44441857440012,225.76797212734817,55.08556206709475,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0,4.228628139443077,180.4957433368545,346.90855979308014,408.8234295983322,415.96966112870496,457.7476731839446,456.1772526150468,338.9140366728549,342.0457402554137,305.98771989164527,94.5122363665529,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0,6.457417909038878,171.75616675998427,267.0813378661289,295.73411673939535,352.9188016332279,367.1235766921544,350.6308445331596,314.4358905959404,317.30260234618925,244.40020412979646,79.23334421226154,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0,0.0,9.490431260122296,227.63571714796126,353.219843139103,382.9145073967811,416.13414083961396,407.53031891491264,354.69716817410665,374.6884502982968,418.82916935660035,314.28424100443374,112.70298807725484,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0,9.438708827324913,219.51155599471758,403.3747131457552,527.6840560175767,543.7291847093962,519.6783614237909,566.4280292986892,503.20503613352776,504.91524903536873,407.8211676526251,125.11835378063002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0,11.847681493334926,205.3728047678842,264.97134192215924,327.1110736276015,407.7100324719735,446.76866320847046,396.835865258782,347.81647165929314,298.10253326920446,247.9624732846627,77.23174797005974,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0,0.0,21.031915959715842,334.4179577692722,491.9732707787678,575.3400459036486,645.0760531045496,599.9854852905497,661.8811034228653,598.027015546197,495.7421359421117,381.19920724034307,135.04504204977826,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0,0.0,0.0,19.80483421688853,258.7391455077335,379.03259811485185,405.67602173701937,484.55167469692424,476.8664595755516,505.51295667290685,450.7080970957877,420.81725007180756,331.1787296578304,92.27880590558159,0.0,0.0,0.0,0.0,0.0,0.0,0.0
