Power(V),5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,
Wavelength(nm),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),
313.00,74.65,73.60,70.51,67.26,63.98,59.02,76.51,77.40,77.15,77.04,78.40,78.85,78.47,77.17,78.74,71.28,80.40,79.48,81.85,79.92,77.52,74.55,70.90,84.36,84.31,85.26,84.83,84.51,84.74,81.67,78.33,84.33,83.06,81.06,81.42,81.67,81.71,82.94,78.76,79.46,88.49,90.65,90.08,90.77,91.04,90.34,87.42,84.40,80.69,
314.00,82.28,81.64,78.11,73.75,69.81,63.73,83.78,84.84,84.73,84.00,85.70,86.34,85.28,85.04,86.55,77.39,87.73,86.77,89.86,87.41,85.38,81.76,78.23,92.63,92.43,93.49,92.85,92.63,92.85,88.91,85.49,92.42,90.82,88.59,89.00,89.55,89.75,90.62,85.91,86.87,96.17,98.73,98.50,98.72,99.47,98.73,95.10,92.53,88.06,
315.00,89.73,89.55,85.43,79.54,76.17,69.73,92.00,92.02,93.00,92.08,92.76,94.30,92.82,93.21,94.90,84.54,95.32,94.62,98.17,95.25,93.75,88.86,85.08,100.57,100.55,102.58,101.76,101.36,100.41,97.40,93.31,100.92,99.13,96.74,96.54,97.15,97.91,98.08,94.03,94.22,105.00,107.44,107.53,107.39,107.96,108.18,103.56,100.37,95.49,
316.00,97.72,97.62,93.00,86.29,82.20,75.92,100.35,100.24,100.81,100.06,100.75,102.06,100.74,101.95,103.26,91.15,103.73,102.59,106.25,104.06,102.00,96.04,92.68,108.79,109.06,111.38,110.61,110.10,108.07,105.07,101.44,108.92,107.99,104.80,103.76,105.12,106.24,106.14,102.80,101.84,113.51,116.49,116.57,116.78,116.62,117.07,112.14,108.75,103.00,
317.00,106.55,106.63,101.38,94.20,89.33,82.94,109.51,109.12,109.62,109.83,109.81,110.99,109.57,111.22,112.81,99.30,112.27,111.44,115.36,113.24,111.78,104.96,101.59,118.66,118.94,122.07,121.08,120.32,117.16,114.40,110.64,118.43,117.66,113.86,112.32,114.08,116.00,115.70,112.30,110.41,123.79,126.70,127.37,127.75,127.22,127.28,122.50,117.78,111.46,
318.00,114.81,114.44,109.29,101.43,96.46,89.88,118.09,117.50,118.85,118.96,119.13,119.51,118.50,120.19,121.16,106.80,120.69,120.11,124.14,121.80,120.16,113.01,109.31,127.60,128.29,131.73,130.65,130.04,126.27,123.12,118.86,127.42,126.59,123.11,120.72,123.15,124.30,124.50,121.16,118.19,133.47,136.25,137.59,137.68,137.15,136.64,132.72,126.10,119.57,
319.00,121.99,120.58,115.11,107.58,102.11,95.69,125.10,124.47,125.59,126.26,126.65,126.64,125.98,126.80,128.30,112.92,128.08,127.53,131.18,128.68,126.49,119.30,115.09,134.47,135.22,139.44,137.87,137.24,133.68,129.95,125.22,134.74,133.61,129.93,127.41,130.36,131.45,131.36,127.78,124.73,141.81,143.90,145.38,145.99,145.15,143.47,140.40,133.18,126.48,
320.00,128.70,127.30,120.86,114.11,108.20,100.86,131.75,131.65,132.54,133.53,134.41,133.74,133.19,133.24,135.23,119.52,135.59,135.03,138.30,135.56,133.15,126.30,121.29,142.12,142.89,146.60,145.51,144.04,141.36,136.22,131.34,142.04,140.77,136.41,134.53,137.50,138.11,139.04,134.40,131.45,149.48,151.68,152.86,153.89,153.42,150.80,148.11,140.43,133.67,
321.00,136.35,133.77,127.87,120.68,115.10,106.31,138.39,139.35,139.56,141.38,141.60,141.71,140.75,140.21,142.03,126.90,142.79,143.21,145.89,142.14,140.10,133.45,127.65,150.07,151.15,154.26,153.40,151.90,149.54,143.43,137.85,150.39,147.83,143.22,142.03,145.04,145.15,146.00,140.86,138.81,157.37,160.05,161.34,162.09,161.77,158.13,156.19,147.93,141.38,
322.00,145.34,142.36,135.67,128.42,121.98,112.52,146.68,148.16,148.07,149.64,150.39,150.44,149.25,148.31,150.78,134.68,152.27,152.37,154.55,151.09,148.45,141.54,134.47,159.11,159.88,163.14,161.74,160.39,158.69,152.02,146.21,158.82,156.09,151.76,151.45,154.15,154.08,154.82,148.80,148.39,166.48,169.19,170.39,171.70,171.35,167.73,165.16,158.02,150.41,
